"id","original_code","error_type","error_message","error_line","target_action","fixed_code","complexity"
"1","for (let score = 0; score < 15; score = score + 1) {
score[0] = 1;
    if (score > 2) {
        print(score);
    }
}","Semantic","'score' is not an array","2","MAKE_ARRAY","for (let score = [0, 0]; = score + 1) {
score[0] = 1;
    if (score > 2) {
        print(score);
    }
}","medium"
"2","let data = 20;
if (data > 5) {
    let max = data * 2;
    print(max);
} else {
    print(data;
}","Syntactic","Expected ')'","6","INSERT_RPAREN","let data = 20;
if (data > 5) {
    let max = data * 2;
    print(max);
} else {
    print(data);
}","medium"
"3","let target = 0;
target[0] = 1;
while (target < 0) {
    if (target > 3) {
        print(target);
    }
    target = target + 1;
}","Semantic","'target' is not an array","2","MAKE_ARRAY","let target = [0, 0];
target[0] = 1;
while (target < 0) {
    if (target > 3) {
        print(target);
    }
    target = target + 1;
}","medium"
"4","for (let k = 0; k < 10; k = k + 1) {
k[0] = 1;
    let value = k * 100;
    print(value);
}","Semantic","'k' is not an array","2","MAKE_ARRAY","for (let k = [0, 0]; = k + 1) {
k[0] = 1;
    let value = k * 100;
    print(value);
}","medium"
"5","let i = [10, 42, 0]
print(i[1]);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let i = [10, 42, 0];
print(i[1]);","short"
"6","score = 0;
while (score < 5) {
    if (score > 3) {
        print(score);
    }
    score = score + 1;
}","Semantic","Variable 'score' used before declaration","1","PREPEND_LET","let score = 0;
while (score < 5) {
    if (score > 3) {
        print(score);
    }
    score = score + 1;
}","medium"
"7","let index = [1, 20, 0];
print(index[1])&;","Lexical","Unexpected character '&'","2","DELETE_CHAR_AT_INDEX","let index = [1, 20, 0];
print(index[1]);","short"
"8","let j = 10;
j[0] = 1;
let result = 0;
while (result < j) {
    result = result + 1;
}
print(result);","Semantic","'j' is not an array","2","MAKE_ARRAY","let j = [0, 0];
j[0] = 1;
let result = 0;
while (result < j) {
    result = result + 1;
}
print(result);","medium"
"9","let score = 42;
let flag = score * 2;
print(flag)","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let score = 42;
let flag = score * 2;
print(flag);","short"
"10","let target = 0
let k = 10;
let sum = 0;
while (target < k) {
    if (target > 5) {
        sum = sum + target;
    } else {
        sum = sum + k;
    }
    target = target + 1;
}
print(sum);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let target = 0;
let k = 10;
let sum = 0;
while (target < k) {
    if (target > 5) {
        sum = sum + target;
    } else {
        sum = sum + k;
    }
    target = target + 1;
}
print(sum);","long"
"11","let limit = 42;
limit[0] = 1;
let size = limit * 2;
print(size);","Semantic","'limit' is not an array","2","MAKE_ARRAY","let limit = [0, 0];
limit[0] = 1;
let size = limit * 2;
print(size);","medium"
"12","let total = 42;
print(total)~;","Lexical","Unexpected character '~'","2","DELETE_CHAR_AT_INDEX","let total = 42;
print(total);","short"
"13","x = [1, 42, 0];
print(x[1]);","Semantic","Variable 'x' used before declaration","1","PREPEND_LET","let x = [1, 42, 0];
print(x[1]);","short"
"14","let size = 10;
let name = 0;
while (name < size) {
    name = name + 1;
print(""hello);
print(name);","Lexical","Unterminated string","5","INSERT_QUOTE","let size = 10;
let name = 0;
while (name < size) {
    name = name + 1;
print(""hello"");
print(name);","medium"
"15","let found = 0;
found[0] = 1;
while (found < 3) {
    for (let k = 0; k < 2; k = k + 1) {
        print(k);
    }
    found = found + 1;
}
print(found);","Semantic","'found' is not an array","2","MAKE_ARRAY","let found = [0, 0];
found[0] = 1;
while (found < 3) {
    for (let k = 0; k < 2; k = k + 1) {
        print(k);
    }
    found = found + 1;
}
print(found);","long"
"16","let max = 0;
while (max < 20) {
    if (max > 3) {#
        print(max);
    }
    max = max + 1;
}","Lexical","Unexpected character '#'","3","DELETE_CHAR_AT_INDEX","let max = 0;
while (max < 20) {
    if (max > 3) {
        print(max);
    }
    max = max + 1;
}","medium"
"17","let arr = 0;
let total = 10;
let sum = 0;
while (arr < total) {
    if (arr > 5) {
        sum = sum + arr;
print(""hello);
        sum = sum + total;
    }
    arr = arr + 1;
}
print(sum);","Lexical","Unterminated string","7","INSERT_QUOTE","let arr = 0;
let total = 10;
let sum = 0;
while (arr < total) {
    if (arr > 5) {
        sum = sum + arr;
print(""hello"");
        sum = sum + total;
    }
    arr = arr + 1;
}
print(sum);","long"
"18","let score = 20;
print(score)","Syntactic","Expected ';' after print statement","2","INSERT_SEMICOLON","let score = 20;
print(score);","short"
"19","let sum = 3;
let i = sum + 3;
print(i;","Syntactic","Expected ')'","3","INSERT_RPAREN","let sum = 3;
let i = sum + 3;
print(i);","short"
"20","for (score = 0; score < 0; score = score + 1) {
    if (score > 2) {
        print(score);
    }
}","Semantic","Variable 'score' used before declaration","1","PREPEND_LET","for (let score = 0; score < 0; score = score + 1) {
    if (score > 2) {
        print(score);
    }
}","medium"
"21","for (let score = 0; score < 2; score = score + 1) {
for (let score = 0; score < 2; score = score + 1) {
    if (score > 2) {
        print(score);
    }
}","Semantic","Variable 'score' already declared","2","REMOVE_LET_OR_RENAME","for (let score = 0; score < 2; score = score + 1) {
for (score = 0; score < 2; score = score + 1) {
    if (score > 2) {
        print(score);
    }
}","medium"
"22","let k = 0;
let count = 10;
let sum = 0
while (k < count) {
    if (k > 5) {
        sum = sum + k;
    } else {
        sum = sum + count;
    }
    k = k + 1;
}
print(sum);","Syntactic","Expected ';' after variable declaration","3","INSERT_SEMICOLON","let k = 0;
let count = 10;
let sum = 0;
while (k < count) {
    if (k > 5) {
        sum = sum + k;
    } else {
        sum = sum + count;
    }
    k = k + 1;
}
print(sum);","long"
"23","for (let score = 0; score < 2; score = score + 1) {
    if (score > 2) {
        print(score)
    }
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","for (let score = 0; score < 2; score = score + 1) {
    if (score > 2) {
        print(score);
    }
}","medium"
"24","let size = 0
while (size < 99) {
    print(size);
    size = size + 1;
}","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let size = 0;
while (size < 99) {
    print(size);
    size = size + 1;
}","medium"
"25","let arr = 3;
arr[0] = 1;
if (arr > 5) {
    let index = arr * 2;
    print(index);
} else {
    print(arr);
}","Semantic","'arr' is not an array","2","MAKE_ARRAY","let arr = [0, 0];
arr[0] = 1;
if (arr > 5) {
    let index = arr * 2;
    print(index);
} else {
    print(arr);
}","medium"
